query,ground_truth,prediction,chunk_size,overlap,top_k,reranking,prompt_type,f1,em,faithfulness,citation_acc,context_recall,context_precision,latency,not_found
What city did Super Bowl 50 take place in?,Santa Clara,"Not found. There is no question or statement about a specific city being mentioned in the provided context. The text only mentions the location of Levi's Stadium in Santa Clara, California, but not the city itself.",128,0,5,off,citation,0.05263157894736842,0,1,0.0,1,1.0,0.6113018989562988,1
What was the final score of Super Bowl 50? ,24–10,The final score was 24-10 [1] [2] [3] [4] [5].,128,0,5,off,citation,0.0,0,0,1.0,1,1.0,0.49378085136413574,0
What year was Super Bowl 50?,2015,"The year Super Bowl 50 was played is not explicitly stated in the provided context. However, it can be inferred that the game took place in 2016, as it was played on February 7, 2016 [1], [2], [3], [4], and [5].",128,0,5,off,citation,0.0,0,1,1.0,1,1.0,0.7345905303955078,0
What team was the AFC champion?,Denver Broncos,"The team that was the AFC champion is not explicitly stated in the provided context. The text only mentions that the Denver Broncos were the AFC champion, but it does not provide a citation or reference to support this claim. Therefore, I must say:

Not found",128,0,5,off,citation,0.08333333333333333,0,1,0.0,1,1.0,0.6734378337860107,1
What team was the NFC champion?,Carolina Panthers,"The NFC champion is not explicitly stated in the provided context. However, it can be inferred that the NFC champion is Carolina Panthers, as they are mentioned as the National Football Conference (NFC) champion [1], [2], [3], [4], and [5].",128,0,5,off,citation,0.047619047619047616,0,1,1.0,1,1.0,0.7030198574066162,0
Super Bowl 50 determined the NFL champion for what season?,2015,"[1], [2], [3], [4], and [5] all state that Super Bowl 50 determined the NFL champion for the 2015 season.",128,0,5,off,citation,0.09523809523809523,0,0,1.0,1,1.0,0.5571348667144775,0
The name of the NFL championship game is?,Super Bowl,Not found. None of the provided texts mention the name of the NFL championship game other than referring to it as Super Bowl 50.,128,0,5,off,citation,0.15384615384615385,0,0,0.0,1,1.0,0.5109660625457764,1
What 2015 NFL team one the AFC playoff?,Denver Broncos,"Not found. The text only mentions the winner of Super Bowl 50, but not the winner of the AFC playoff in 2015.",128,0,5,off,citation,0.0,0,0,0.0,1,1.0,0.521461009979248,1
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,"None. The question is not present in the provided context, but it can be inferred that the AFC team is implied to be Denver Broncos from the previous statements that mention they were the AFC champion and won Super Bowl 50 against Carolina Panthers (the NFC champions).",128,0,5,embedding,baseline,0.08163265306122448,0,1,0.0,1,1.0,0.6855881214141846,0
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,The NFC team represented at Super Bowl 50 was the Carolina Panthers.,128,0,5,embedding,baseline,0.14285714285714285,0,0,0.0,1,1.0,0.4498269557952881,0
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"Gold. The text explicitly states that the league emphasized the ""golden anniversary"" and used various gold-themed initiatives to celebrate the 50th Super Bowl.",128,0,5,embedding,baseline,0.0,0,0,0.0,1,1.0,0.5460832118988037,0
What was the theme of Super Bowl 50?,"""golden anniversary""","There is no theme mentioned in the provided context. The context only provides information about the game itself, including the teams, score, and location, but does not mention any specific theme or topic for Super Bowl 50.",128,0,5,embedding,baseline,0.0,0,1,0.0,1,1.0,0.628939151763916,0
What was the theme of Super Bowl 50?,"""golden anniversary""","There is no explicit theme mentioned in the context. The context mentions that the league emphasized various gold-themed initiatives, but it does not explicitly state a specific theme.",128,0,5,embedding,baseline,0.0,0,0,0.0,1,1.0,0.5600652694702148,0
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,L.,128,0,5,embedding,baseline,0.0,0,1,0.0,1,1.0,0.36356639862060547,0
Super Bowl 50 decided the NFL champion for what season?,2015,The NFL champion for the season determined by Super Bowl 50 was the 2015 season.,128,0,5,embedding,baseline,0.125,0,1,0.0,1,1.0,0.4714622497558594,0
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"None. The information about the Denver Broncos' Super Bowl title is repeated in all five context passages, but there is no mention of a different year when they secured their third Super Bowl title.",128,0,5,embedding,baseline,0.0,0,1,0.0,1,1.0,0.5854036808013916,0
What was the final score of Super Bowl 50? ,24–10,The final score was Denver Broncos 24- Carolina Panthers 10.,128,0,5,embedding,baseline,0.0,0,1,0.0,1,1.0,0.43813037872314453,0
What year was Super Bowl 50?,2015,The year was 2016.,128,0,5,embedding,baseline,0.0,0,1,0.0,1,1.0,0.3917088508605957,0
The name of the NFL championship game is?,Super Bowl,"There is no mention of the name of the NFL championship game in the provided context. The text only talks about Super Bowl 50, its teams, and its location, but not the name of a championship game.",128,0,5,embedding,baseline,0.10256410256410257,0,1,0.0,1,1.0,0.6231794357299805,0
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,STRICT: Not found,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.3860750198364258,1
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"Not found. The information about the NFC team in Super Bowl 50 is not explicitly stated in any of the provided sources, but it can be inferred from the fact that Carolina Panthers (NFC champion) lost to Denver Broncos (AFC champion).",128,0,5,embedding,strict,0.09302325581395349,0,1,0.0,1,1.0,0.668903112411499,1
Where did Super Bowl 50 take place?,"Santa Clara, California",Not found,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.36426305770874023,1
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Not found,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.37142252922058105,1
What was the theme of Super Bowl 50?,"""golden anniversary""",Not found. None of the provided sources specify a theme for Super Bowl 50.,128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.45961833000183105,1
What day was the game played on?,"February 7, 2016",Not found.,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.3680260181427002,1
What is the AFC short for?,American Football Conference,"AFC is short for American Football Conference. It is fully supported by the context provided in the passage, specifically from [1], [2], [3], [4], and [5].",128,0,5,embedding,strict,0.13793103448275862,0,0,1.0,1,1.0,0.6093299388885498,0
What was the theme of Super Bowl 50?,"""golden anniversary""","Not found. None of the provided sources mention the theme of Super Bowl 50. However, according to various sports news outlets and the NFL's official website, the theme was ""A New Era"".",128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.6055457592010498,1
Who won Super Bowl 50?,Denver Broncos,"Not found. The text does not provide a clear or definitive answer to who won Super Bowl 50. However, it is explicitly stated in [1] and [2] and implicitly in [3], [4], and [5] that the Denver Broncos defeated the Carolina Panthers with a score of 24-10.",128,0,5,embedding,strict,0.08163265306122448,0,1,1.0,1,1.0,0.7731237411499023,1
What city did Super Bowl 50 take place in?,Santa Clara,"Not found. No source provides a different city than Santa Clara, California.",128,0,5,embedding,strict,0.14285714285714285,0,1,0.0,1,1.0,0.4455077648162842,1
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Not found.,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.371518611907959,1
Super Bowl 50 decided the NFL champion for what season?,2015,SUPER BOWL 50 decided the NFL champion for the 2015 season.,128,0,5,embedding,strict,0.16666666666666669,0,0,0.0,1,1.0,0.4608628749847412,0
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"Not found. There are multiple sources with the same information, but I'm not finding a clear question asking about a specific year for a third Super Bowl title. The Denver Broncos have won three Super Bowls, but the years are not explicitly stated in these sources.",128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.679617166519165,1
What city did Super Bowl 50 take place in?,Santa Clara,"Not found. None of the provided sources explicitly state the city in which Super Bowl 50 took place, but it is clear that Levi's Stadium was located in Santa Clara, California, within the San Francisco Bay Area.",128,0,5,embedding,strict,0.05128205128205129,0,1,0.0,1,1.0,0.6327424049377441,1
What was the final score of Super Bowl 50? ,24–10,"Not found. None of the sources provide a specific score for Super Bowl 50, only summarize its details and outcomes.",128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.506843090057373,1
"What month, day and year did Super Bowl 50 take place? ","February 7, 2016",NOT FOUND,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.36560916900634766,1
What year was Super Bowl 50?,2015,Super Bowl 50 was played in 2016.,128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.42867136001586914,0
What team was the AFC champion?,Denver Broncos,Not found,128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.3670923709869385,1
What team was the NFC champion?,Carolina Panthers,Not found.,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.3682997226715088,1
Who won Super Bowl 50?,Denver Broncos,Not found,128,0,5,embedding,strict,0.0,0,0,0.0,1,1.0,0.36498475074768066,1
Super Bowl 50 determined the NFL champion for what season?,2015,Super Bowl 50 determined the NFL champion for the 2015 season.,128,0,5,embedding,strict,0.16666666666666669,0,1,0.0,1,1.0,0.4477105140686035,0
Which team won Super Bowl 50.,Denver Broncos,"Not found. None of the sources provided explicitly state who won the game, but all five sources provide similar information about the teams and the game itself.",128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.5465528964996338,1
The name of the NFL championship game is?,Super Bowl,Not found,128,0,5,embedding,strict,0.0,0,1,0.0,1,1.0,0.3627438545227051,1
What 2015 NFL team one the AFC playoff?,Denver Broncos,"Not found. The text does not explicitly state which team won the AFC playoff in 2015, but it does mention that the Denver Broncos defeated the Carolina Panthers in Super Bowl 50 (the 2016 season's playoffs).",128,0,5,embedding,strict,0.10526315789473684,0,1,0.0,1,1.0,0.6467077732086182,1
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,"[1], [2], [3], [4], and [5] all state that the NFC champion was the Carolina Panthers, while Denver Broncos were the AFC champions. Therefore:

The answer is: The Carolina Panthers represented the NFC at Super Bowl 50.",128,0,5,embedding,citation,0.10256410256410257,0,0,1.0,1,1.0,0.6988577842712402,0
Where did Super Bowl 50 take place?,"Santa Clara, California","According to [1], [2], [3], [4], and [5], Super Bowl 50 took place at Levi's Stadium in Santa Clara, California.",128,0,5,embedding,citation,0.1739130434782609,0,1,1.0,1,1.0,0.5681500434875488,0
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"The color used to emphasize the 50th anniversary of the Super Bowl was gold [1], [2], [3], [4], and [5].",128,0,5,embedding,citation,0.09523809523809523,0,1,1.0,1,1.0,0.563352108001709,0
What was the theme of Super Bowl 50?,"""golden anniversary""",Not found.,128,0,5,embedding,citation,0.0,0,0,0.0,1,1.0,0.3789558410644531,1
What was the theme of Super Bowl 50?,"""golden anniversary""","Not found. The provided context does not mention the theme of Super Bowl 50. It only provides information about the game itself, such as the teams that played, the date and location, and some details about the ""golden anniversary"" celebration.",128,0,5,embedding,citation,0.09523809523809523,0,0,0.0,1,1.0,0.6967034339904785,1
What day was the Super Bowl played on?,"February 7, 2016","February 7 [1], [2], [3], [4], and [5]",128,0,5,embedding,citation,0.18181818181818182,0,1,1.0,1,1.0,0.48587846755981445,0
Who won Super Bowl 50?,Denver Broncos,"[1], [2], [3], [4], and [5] all state that the Denver Broncos defeated the Carolina Panthers 24-10, making them the winners of Super Bowl 50.",128,0,5,embedding,citation,0.14814814814814814,0,0,1.0,1,1.0,0.6166062355041504,0
What venue did Super Bowl 50 take place in?,Levi's Stadium,"Levi's Stadium in the San Francisco Bay Area at Santa Clara, California [1], [2], [3], [4], and [5].",128,0,5,embedding,citation,0.19999999999999998,0,1,1.0,1,1.0,0.5550754070281982,0
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"Not found. The text does not mention what the Super Bowl would have been called if Roman numerals were used. It only states that the league temporarily suspended the tradition of naming each Super Bowl game with Roman numerals to emphasize the ""golden anniversary"" and feature the Arabic numeral 50 in the logo, but it does not provide any information on alternative names for the game using Roman numerals.",128,0,5,embedding,citation,0.05555555555555555,0,1,0.0,1,1.0,0.8621444702148438,1
Super Bowl 50 decided the NFL champion for what season?,2015,"The NFL champion for the season was determined by Super Bowl 50, which was played in the 2015 season. [1], [2], [3], [4], and [5] all confirm this information.",128,0,5,embedding,citation,0.06666666666666667,0,1,1.0,1,1.0,0.6345334053039551,0
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,Not found. None of the provided texts mention a specific year when the Denver Broncos secured their third Super Bowl title.,128,0,5,embedding,citation,0.0,0,0,0.0,1,1.0,0.5005488395690918,1
What was the final score of Super Bowl 50? ,24–10,"The final score was 24-10 [1], [2], [3], [4], and [5].",128,0,5,embedding,citation,0.0,0,1,1.0,1,1.0,0.5056815147399902,0
What year was Super Bowl 50?,2015,"[1], [2], [3], [4], and [5] all state that Super Bowl 50 was played on February 7, 2016.",128,0,5,embedding,citation,0.0,0,1,1.0,1,1.0,0.5640394687652588,0
What team was the AFC champion?,Denver Broncos,"The Denver Broncos were the AFC champion. [1], [2], [3], [4], and [5] all state that the Denver Broncos defeated the Carolina Panthers to earn their third Super Bowl title as the AFC champions.",128,0,5,embedding,citation,0.1111111111111111,0,0,1.0,1,1.0,0.642855167388916,0
What team was the NFC champion?,Carolina Panthers,Not found.,128,0,5,embedding,citation,0.0,0,0,0.0,1,1.0,0.3637049198150635,1
Who won Super Bowl 50?,Denver Broncos,"The winner of Super Bowl 50 is not explicitly stated in the provided context, but it can be inferred that the Denver Broncos are the winners. The text states that the Broncos defeated the Panthers 24–10 to earn their third Super Bowl title. 

[No specific mention of who won, though]",128,0,5,embedding,citation,0.07692307692307693,0,1,0.0,1,1.0,0.735715389251709,0
Super Bowl 50 determined the NFL champion for what season?,2015,"The Super Bowl champion for the 2015 season was the Denver Broncos [1], [2], [3], [4], and [5].",128,0,5,embedding,citation,0.10526315789473684,0,1,1.0,1,1.0,0.5465290546417236,0
The name of the NFL championship game is?,Super Bowl,"The name of the NFL championship game is not explicitly stated in the provided context. However, it can be inferred that the title refers to Super Bowl 50.",128,0,5,embedding,citation,0.13333333333333333,0,0,0.0,1,1.0,0.5583221912384033,0
What 2015 NFL team one the AFC playoff?,Denver Broncos,"Not found. The text only talks about Super Bowl 50 and does not mention any other team winning an AFC playoff besides the Denver Broncos, who are the AFC champion in this context.",128,0,5,embedding,citation,0.05714285714285715,0,1,0.0,1,1.0,0.5900735855102539,1
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,"There is no mention of a specific color being used to emphasize the 50th anniversary of the Super Bowl. The text only mentions gold-themed initiatives and the use of Arabic numerals (50) in the logo, but does not specify a particular color.",128,0,5,cross,baseline,0.0,0,1,0.0,1,1.0,0.7148351669311523,0
What was the theme of Super Bowl 50?,"""golden anniversary""","There is no theme mentioned in the context provided. The text only describes the details of the game, including the teams, score, and location, but does not mention a specific theme.",128,0,5,cross,baseline,0.0,0,1,0.0,1,1.0,0.6201643943786621,0
What was the theme of Super Bowl 50?,"""golden anniversary""","None. The text does not mention a specific theme for Super Bowl 50, but rather describes the game and its significance as the 50th anniversary of the Super Bowl.",128,0,5,cross,baseline,0.0,0,0,0.0,1,1.0,0.6068089008331299,0
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,"Based on the context, if Roman numerals were used, Super Bowl 50 would have been called ""Super Bowl L""",128,0,5,cross,baseline,0.18181818181818182,0,1,0.0,1,1.0,0.5415208339691162,0
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"The answer is not explicitly stated in the context. However, it can be inferred that the year was 2015, as the text mentions that Super Bowl 50 was played on February 7, 2016, and refers to the 2015 season. The 2015 season implies that the Denver Broncos secured their third Super Bowl title in 2015, but the exact date of the Super Bowl is not provided in the context.",128,0,5,cross,baseline,0.02857142857142857,0,1,0.0,1,1.0,0.9492123126983643,0
What was the final score of Super Bowl 50? ,24–10,The final score was Denver Broncos 24- Carolina Panthers 10.,128,0,5,cross,baseline,0.0,0,1,0.0,1,1.0,0.4749462604522705,0
What year was Super Bowl 50?,2015,2016.,128,0,5,cross,baseline,0.0,0,1,0.0,1,1.0,0.42623114585876465,0
The name of the NFL championship game is?,Super Bowl,"The name of the NFL championship game is not explicitly stated in the provided context, but it can be inferred to be ""Super Bowl 50"". The Super Bowl is the annual championship game of the National Football League (NFL), and each game has a unique number assigned to it. In this case, Super Bowl 50 refers to the game played on February 7, 2016.",128,0,5,cross,baseline,0.06060606060606061,0,1,0.0,1,1.0,0.906064510345459,0
What 2015 NFL team one the AFC playoff?,Denver Broncos,"The AFC playoff winner for 2015 is not explicitly stated in the context, but it can be inferred that the Denver Broncos, who won Super Bowl 50, must have been the winner of the AFC playoff.",128,0,5,cross,baseline,0.05263157894736842,0,0,0.0,1,1.0,0.6670491695404053,0
Which NFL team represented the AFC at Super Bowl 50?,Denver Broncos,Not found,128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.40574145317077637,1
Which NFL team represented the NFC at Super Bowl 50?,Carolina Panthers,Not found,128,0,5,cross,strict,0.0,0,1,0.0,1,1.0,0.4154701232910156,1
What color was used to emphasize the 50th anniversary of the Super Bowl?,gold,Not found,128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.43654799461364746,1
What was the theme of Super Bowl 50?,"""golden anniversary""",Not found.,128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.4311079978942871,1
What day was the game played on?,"February 7, 2016","Not found. The question ""What day was the game played on?"" is not supported by any of the provided text, but it can be inferred that the game was played on February 7, 2016, based on other information in the texts.",128,0,5,cross,strict,0.0909090909090909,0,1,0.0,1,1.0,0.7235891819000244,1
What was the theme of Super Bowl 50?,"""golden anniversary""",Not found.,128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.41083550453186035,1
What day was the Super Bowl played on?,"February 7, 2016",Not found,128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.4125936031341553,1
Who won Super Bowl 50?,Denver Broncos,"Not found. None of the provided sources state who won Super Bowl 50, but all mention the Denver Broncos as the winners and their score against the Carolina Panthers (24-10).",128,0,5,cross,strict,0.125,0,1,0.0,1,1.0,0.6245794296264648,1
"If Roman numerals were used, what would Super Bowl 50 have been called?",Super Bowl L,Not found,128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.417461633682251,1
Super Bowl 50 decided the NFL champion for what season?,2015,Super Bowl 50 decided the NFL champion for the **2015** season.,128,0,5,cross,strict,0.0,0,1,0.0,1,1.0,0.48304033279418945,0
What year did the Denver Broncos secure a Super Bowl title for the third time?,2015,"Not found. The text does not explicitly state the year in which the Denver Broncos secured their third Super Bowl title, only that it was for the 2015 season and took place on February 7, 2016.",128,0,5,cross,strict,0.05405405405405406,0,1,0.0,1,1.0,0.6840810775756836,1
What city did Super Bowl 50 take place in?,Santa Clara,"Not found. None of the references provided mention a city for Super Bowl 50, only the stadium and location.",128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.5360493659973145,1
What was the final score of Super Bowl 50? ,24–10,24-10.,128,0,5,cross,strict,0.0,0,0,0.0,1,1.0,0.4364643096923828,0
What year was Super Bowl 50?,2015,Super Bowl 50 was played in 2016.,128,0,5,cross,strict,0.0,0,1,0.0,1,1.0,0.46750617027282715,0
What team was the AFC champion?,Denver Broncos,Not found.,128,0,5,cross,strict,0.0,0,1,0.0,1,1.0,0.40285468101501465,1
